24882 num_stratum
1 num_targets
LAI
basin_ID hill_ID zone_ID patch_ID stratum_ID LAI
1 26 41370 41370 41370 2.300000
1 26 41371 41371 41371 2.300000
1 26 41372 41372 41372 2.300000
1 26 41373 41373 41373 2.300000
1 26 41374 41374 41374 2.300000
1 26 41375 41375 41375 2.300000
1 26 41376 41376 41376 2.300000
1 26 41377 41377 41377 3.700000
1 26 41378 41378 41378 3.700000
1 26 41379 41379 41379 3.700000
1 26 41674 41674 41674 2.400000
1 26 41675 41675 41675 2.400000
1 26 41676 41676 41676 2.300000
1 26 41677 41677 41677 2.300000
1 26 41678 41678 41678 2.300000
1 26 41679 41679 41679 2.300000
1 26 41680 41680 41680 2.300000
1 26 41681 41681 41681 2.300000
1 26 41682 41682 41682 2.300000
1 26 41683 41683 41683 2.300000
1 26 41684 41684 41684 2.300000
1 26 41685 41685 41685 2.300000
1 26 41686 41686 41686 2.300000
1 26 41687 41687 41687 2.300000
1 26 41688 41688 41688 3.700000
1 26 41689 41689 41689 3.700000
1 26 41690 41690 41690 3.700000
1 26 41981 41981 41981 3.900000
1 26 41982 41982 41982 3.900000
1 26 41983 41983 41983 3.700000
1 26 41984 41984 41984 3.700000
1 26 41985 41985 41985 3.700000
1 26 41986 41986 41986 3.700000
1 26 41987 41987 41987 3.700000
1 26 41988 41988 41988 3.700000
1 26 41989 41989 41989 3.700000
1 26 41990 41990 41990 3.700000
1 26 41991 41991 41991 3.700000
1 26 41992 41992 41992 3.700000
1 26 41993 41993 41993 3.700000
1 26 41994 41994 41994 3.700000
1 26 41995 41995 41995 3.700000
1 26 41996 41996 41996 3.700000
1 26 41997 41997 41997 3.700000
1 26 41998 41998 41998 3.700000
1 26 41999 41999 41999 3.700000
1 26 42291 42291 42291 3.900000
1 26 42292 42292 42292 3.900000
1 26 42293 42293 42293 3.700000
1 26 42294 42294 42294 3.700000
1 26 42295 42295 42295 3.700000
1 26 42296 42296 42296 3.700000
1 26 42297 42297 42297 3.700000
1 26 42298 42298 42298 3.700000
1 26 42299 42299 42299 3.700000
1 26 42300 42300 42300 3.700000
1 26 42301 42301 42301 3.700000
1 26 42302 42302 42302 3.700000
1 26 42303 42303 42303 3.700000
1 26 42304 42304 42304 3.700000
1 26 42305 42305 42305 3.700000
1 26 42306 42306 42306 3.700000
1 26 42612 42612 42612 3.900000
1 26 42613 42613 42613 3.900000
1 26 42614 42614 42614 3.700000
1 26 42615 42615 42615 3.700000
1 26 42616 42616 42616 3.700000
1 26 42617 42617 42617 3.700000
1 26 42618 42618 42618 3.700000
1 26 42619 42619 42619 3.700000
1 26 42620 42620 42620 3.700000
1 26 42621 42621 42621 3.700000
1 26 42622 42622 42622 3.700000
1 26 42623 42623 42623 3.700000
1 26 42624 42624 42624 3.700000
1 26 42625 42625 42625 3.700000
1 26 42626 42626 42626 3.700000
1 26 42923 42923 42923 3.900000
1 26 42924 42924 42924 3.900000
1 26 42925 42925 42925 3.700000
1 26 42926 42926 42926 3.700000
1 26 42927 42927 42927 3.700000
1 26 42928 42928 42928 3.700000
1 26 42929 42929 42929 3.700000
1 26 42930 42930 42930 3.700000
1 26 42931 42931 42931 3.700000
1 26 42932 42932 42932 3.700000
1 26 42933 42933 42933 3.700000
1 26 42934 42934 42934 3.700000
1 26 42935 42935 42935 3.700000
1 26 42936 42936 42936 3.700000
1 26 42937 42937 42937 3.700000
1 26 43238 43238 43238 3.700000
1 26 43239 43239 43239 3.700000
1 26 43240 43240 43240 3.700000
1 26 43241 43241 43241 3.700000
1 26 43242 43242 43242 3.700000
1 26 43243 43243 43243 3.700000
1 26 43244 43244 43244 3.700000
1 26 43245 43245 43245 3.700000
1 26 43555 43555 43555 3.900000
1 26 43556 43556 43556 3.900000
1 26 43557 43557 43557 3.700000
1 26 43558 43558 43558 3.700000
1 26 43559 43559 43559 3.700000
1 26 43560 43560 43560 3.700000
1 26 43561 43561 43561 3.700000
1 26 43562 43562 43562 3.700000
1 26 43563 43563 43563 3.700000
1 26 43564 43564 43564 3.700000
1 26 43565 43565 43565 3.700000
1 26 43868 43868 43868 3.900000
1 26 43869 43869 43869 3.900000
1 26 43870 43870 43870 3.700000
1 26 43871 43871 43871 3.700000
1 26 43872 43872 43872 3.700000
